gene,Atha_WT-Col-0_sl_FLT_Rep1_G1S1,Atha_WT-Col-0_sl_FLT_Rep2_G1S2,Atha_WT-Col-0_sl_FLT_Rep3_G1S3,Atha_WT-Col-0_sl_GC_Rep1_G2S1,Atha_WT-Col-0_sl_GC_Rep2_G2S2,Atha_WT-Col-0_sl_GC_Rep3_G2S3
AT5G42230,1.709176019,0,0.834643017,5.502103087,1.792316132,0
AT5G42235,1.606915859,1.789379853,1.673606854,0,2.534675516,0.565746854
AT5G42240,265.782224,352.0338478,331.0498129,150.0513924,228.1871248,200.2431509
AT5G42250,184.6857484,330.1703995,266.675701,181.0579563,340.1874917,245.5576796
AT5G42260,0.549490706,1.729339957,5.676073744,8.931991571,4.362252304,1.134185675
AT5G42270,2090.644009,2729.729184,2636.712499,1542.505605,1961.187648,1578.169546
AT5G42280,153.5300062,223.5211841,190.9305392,133.7304502,160.8159026,139.6917657
AT5G42290,113.946169,17.81065307,9.165663307,33.52491336,22.76076632,27.16506747
AT5G42300,1773.36124,1301.23094,1418.292061,1027.659768,1372.298055,1584.257898
AT5G42310,358.6486388,534.0611423,492.9648213,445.1963829,385.3335006,351.153329
AT5G42320,211.6541457,366.6785805,286.383041,133.3877053,331.10617,218.2752477
AT5G42330,66.37163033,62.20801083,59.09984255,154.7726494,97.22387445,92.35323797
AT5G42340,1.102763162,2.582362353,4.844990798,8.111045952,6.217880736,3.403548794
AT5G42350,115.7155494,113.7197056,111.5216945,125.7472389,133.1183963,119.1177551
AT5G42360,164.269479,165.3267321,180.1281585,194.6811819,162.9356999,189.4601269
AT5G42370,31.2621211,48.20604601,41.41593155,37.45620857,44.34793099,31.29559841
AT5G42380,13.16206446,60.68243315,46.32929508,43.06286203,29.32664497,27.21587094
AT5G42390,2254.734015,2340.061873,2201.892064,2303.59455,1837.80124,2020.596711
AT5G42400,401.6186549,371.641534,359.5107399,402.2917062,303.8941467,328.6497497
AT5G42410,1.611643257,2.673386646,2.5012668,1.635632995,3.162217195,1.697707089
AT5G42420,445.4223589,408.0482051,327.6312029,381.8098731,354.961502,394.4272452
AT5G42430,1.09442389,0.869415431,3.25992858,3.252317933,2.49947098,2.267552054
AT5G42440,62.67146157,66.53842057,91.5756378,148.5734211,110.2688517,110.0204503
AT5G42450,17.71259538,18.38755431,17.7722779,29.83454259,21.60659176,17.65368307
AT5G42460,124.0013085,39.85225018,34.11775896,126.7319152,51.149907,91.85732587
AT5G42470,249.9344386,206.7471773,190.6315627,172.1623365,204.4472982,208.1170778
AT5G42480,437.3031627,393.7352112,394.4992868,355.540935,316.8942154,310.5722889
AT5G42490,14.91414425,10.28615213,15.28202457,16.19549707,16.90859149,9.070809692
AT5G42500,122.0643359,233.4225455,244.1104797,240.992369,349.6276977,320.7389838
AT5G42510,101.3330091,210.7585321,373.6467439,109.9203378,404.8286363,265.7656583
